"6815cbd","Samarth Mistry","Sun, 24 Jul 2022 11:57:10 +0530","Btn added.",	 1 file changed, 3 insertions(+)	
"09bbec4","Samarth Mistry","Sun, 24 Jul 2022 11:46:58 +0530","Login validation.",	 6 files changed, 65 insertions(+), 16 deletions(-)	
"2e1bd15","Samarth Mistry","Sun, 24 Jul 2022 11:15:32 +0530","Hotel owner file struct changes.",	 8 files changed, 58 insertions(+), 15 deletions(-)	
"1c685c6","Samarth Mistry","Sun, 24 Jul 2022 10:36:25 +0530","File struct redefined.",	 8 files changed, 10 insertions(+), 10 deletions(-)	
"d83cbe6","Samarth Mistry","Sun, 24 Jul 2022 10:23:38 +0530","SS and image logo",	 7 files changed, 5 insertions(+), 5 deletions(-)	
"0517f5e","Smitesh","Sat, 23 Jul 2022 17:48:25 +0100","populated DB",	 6 files changed, 37 insertions(+), 26 deletions(-)	
"383616a","Samarth Mistry","Sat, 23 Jul 2022 22:09:02 +0530","UI and hotel tab created.",	 8 files changed, 166 insertions(+), 56 deletions(-)	
"b354955","Rohan Andharai","Sat, 23 Jul 2022 12:41:37 +0530","authentication of admin and registrartion",	 7 files changed, 100 insertions(+), 33 deletions(-)	
"e6cc32e","Rohan Andharai","Tue, 19 Jul 2022 19:33:27 +0530","solved errors of login",	 6 files changed, 75 insertions(+), 48 deletions(-)	
"5c5bf54","Smitesh","Sun, 17 Jul 2022 14:52:28 +0100","login according to role",	 14 files changed, 689 insertions(+), 23 deletions(-)	
"badd68e","Samarth Mistry","Mon, 11 Jul 2022 10:48:31 +0530","Space removed",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"88e95b0","Samarth Mistry","Mon, 11 Jul 2022 10:43:58 +0530","req channge",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"69311e8","Samarth Mistry","Mon, 11 Jul 2022 10:38:18 +0530","static changes",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"ba2a408","Samarth Mistry","Mon, 11 Jul 2022 10:35:55 +0530","p2",	 1 file changed, 1 insertion(+)	
"cd31371","Samarth Mistry","Mon, 11 Jul 2022 10:29:33 +0530","changed pro name",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"a533407","Samarth Mistry","Mon, 11 Jul 2022 10:24:16 +0530","p1",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"ee00447","Samarth Mistry","Mon, 11 Jul 2022 10:21:20 +0530","changes proc",	 2 files changed, 0 insertions(+), 0 deletions(-)	
"2445c92","Samarth Mistry","Mon, 11 Jul 2022 10:15:40 +0530","Heroku changes",	 2 files changed, 4 insertions(+)	
"95767cf","Samarth Mistry","Sun, 10 Jul 2022 21:59:04 +0530","UI changes + SS + select2 added",	 5 files changed, 64 insertions(+), 401 deletions(-)	
"e47255a","Smitesh","Sun, 10 Jul 2022 13:58:27 +0530","base.html",	 7 files changed, 141 insertions(+), 291 deletions(-)	
"ba960eb","Samarth Mistry","Sun, 10 Jul 2022 09:35:25 +0530","File struc changes",	 1682 files changed, 0 insertions(+), 0 deletions(-)	
"6f33ee3","Samarth Mistry","Sun, 10 Jul 2022 09:11:52 +0530","Requirements added",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"8ea53a9","Samarth Mistry","Sun, 10 Jul 2022 09:07:23 +0530","Heroku cfg",	 3 files changed, 3 insertions(+)	
"757ffec","Samarth Mistry","Sat, 9 Jul 2022 18:15:06 +0530","UI changes.",	 2 files changed, 16 insertions(+), 13 deletions(-)	
"4bce35b","Rohan Andharai","Sat, 9 Jul 2022 16:42:57 +0530","errors solved",	 10 files changed, 7 insertions(+), 5 deletions(-)	
"514c56b","smitesh","Sat, 9 Jul 2022 15:34:08 +0530","customer CRUD and landing page",	 28 files changed, 1498 insertions(+), 15 deletions(-)	
"64e18d6","Rohan Andharai","Wed, 6 Jul 2022 12:30:52 +0530","login according to types of user",	 13 files changed, 36 insertions(+), 22 deletions(-)	
"ef8a0e3","Smitesh","Sun, 3 Jul 2022 12:21:57 +0530","Front-end added",	 1653 files changed, 308634 insertions(+), 1 deletion(-)	
"18fe103","Rohan Andharai","Fri, 24 Jun 2022 10:12:33 +0530","project initialized",	 11 files changed, 198 insertions(+)	
"0748a72","Samarth Mistry","Wed, 22 Jun 2022 14:48:09 +0530","Initial commit",	 1 file changed, 1 insertion(+)	
